タイトル,UID,更新日時,タイトル（英語）,イベントUID,イベント名（自動、確認用）,開始日時,終了日時,URL
4月分チケット先行抽選,a5fbf93c-97d9-41b5-8995-07f11cd7a583, 2025/03/20 13:53:45,April ticket pre-sale lottery,76b87b2f-7a7c-4c9c-9417-e4b4c7774cf7,にじさんじフェス展, 2025/03/20 12:00, 2025/03/23 23:59,https://eplus.jp/nijifes_ex/
4月分チケット一般販売（先着）,508c0166-d603-42db-ad16-bf9b8611ad6e, 2025/03/20 13:52:43,"April ticket general sale (first come, first served)",76b87b2f-7a7c-4c9c-9417-e4b4c7774cf7,にじさんじフェス展, 2025/03/31 12:00,,https://eplus.jp/nijifes_ex/
5月分チケット先行抽選,3d807b9d-885c-47ad-b1ab-d3b5795e58ab, 2025/04/21 21:11:31,May ticket pre-sale lottery,76b87b2f-7a7c-4c9c-9417-e4b4c7774cf7,にじさんじフェス展, 2025/03/28 12:00, 2025/04/06 23:59,https://eplus.jp/nijifes_ex/
5月分チケット一般販売（先着）,54213bc5-1c81-45c7-9393-9c50371dce02, 2025/04/21 21:11:38,"May ticket general sale (first come, first served)",76b87b2f-7a7c-4c9c-9417-e4b4c7774cf7,にじさんじフェス展, 2025/04/19 12:00,,https://eplus.jp/nijifes_ex/
6月分チケット先行抽選,0b44afe0-0706-4c83-ae0e-c2d634860191, 2025/05/03 14:48:47,June ticket pre-sale lottery,76b87b2f-7a7c-4c9c-9417-e4b4c7774cf7,にじさんじフェス展, 2025/05/03 12:00, 2025/05/11 23:59,https://eplus.jp/nijifes_ex/
6月分チケット一般販売（先着）,e9642f21-04bb-4209-be96-7f7ff9bf498f, 2025/05/03 14:48:51,"June ticket general sale (first come, first served)",76b87b2f-7a7c-4c9c-9417-e4b4c7774cf7,にじさんじフェス展, 2025/05/24 12:00,,https://eplus.jp/nijifes_ex/
シリアル先行抽選,4c7a3d64-2e24-4d49-b61f-913c245eb87d, 2025/03/20 13:55:30,Serial code pre-sale lottery,499a01fb-6742-4158-8a1c-f343859c1e47,"月ノ美兎 2ndワンマンライブ
『Paper Rabbit』", 2025/02/27 12:00, 2025/03/05 23:59,https://eplus.jp/mitotsukino-cd/
総合ファンクラブ先行抽選,85ab1446-47ff-44ec-b2cc-979993a04c26, 2025/03/20 13:56:46,General fan club pre-sale lottery,499a01fb-6742-4158-8a1c-f343859c1e47,"月ノ美兎 2ndワンマンライブ
『Paper Rabbit』", 2025/03/08 12:00, 2025/03/16 23:59,https://eplus.jp/mitotsukino-fc/
イープラス先行抽選,ebd9c1bb-84a6-4859-9043-bdb84141814f, 2025/03/20 13:57:04,e+ pre-sale lottery,499a01fb-6742-4158-8a1c-f343859c1e47,"月ノ美兎 2ndワンマンライブ
『Paper Rabbit』", 2025/03/17 12:00, 2025/03/23 23:59,https://eplus.jp/mitotsukino/
一般販売（先着）,d9850a65-d67a-41c6-99c5-9363525d34fa, 2025/03/20 13:57:21,"General sale (first come, first served)",499a01fb-6742-4158-8a1c-f343859c1e47,"月ノ美兎 2ndワンマンライブ
『Paper Rabbit』", 2025/04/05 12:00,,https://eplus.jp/mitotsukino/
